Numéro,titre,type,Date,statut,VISA
765,2020-885,Bénéfice de la retraite progressive pour les salariés en forfait jours,26 février 2021,Non conformité totale - effet différé,la Constitution
766,2020-885,Bénéfice de la retraite progressive pour les salariés en forfait jours,26 février 2021,Non conformité totale - effet différé,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
767,2020-885,Bénéfice de la retraite progressive pour les salariés en forfait jours,26 février 2021,Non conformité totale - effet différé,le code de la sécurité sociale
768,2020-885,Bénéfice de la retraite progressive pour les salariés en forfait jours,26 février 2021,Non conformité totale - effet différé,le code du travail
770,2020-885,Bénéfice de la retraite progressive pour les salariés en forfait jours,26 février 2021,Non conformité totale - effet différé,la loi n° 2017-1836 du 30 décembre 2017 de financement de la sécurité sociale pour 2018
772,2020-885,Bénéfice de la retraite progressive pour les salariés en forfait jours,26 février 2021,Non conformité totale - effet différé,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
773,2020-884,Absence d'obligation légale d'aviser le tuteur ou le curateur d'une personne protégée en cas d'audience devant le juge de l'application des peines,12 février 2021,Non conformité totale,la Constitution
774,2020-884,Absence d'obligation légale d'aviser le tuteur ou le curateur d'une personne protégée en cas d'audience devant le juge de l'application des peines,12 février 2021,Non conformité totale,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
775,2020-884,Absence d'obligation légale d'aviser le tuteur ou le curateur d'une personne protégée en cas d'audience devant le juge de l'application des peines,12 février 2021,Non conformité totale,le code de procédure pénale
776,2020-884,Absence d'obligation légale d'aviser le tuteur ou le curateur d'une personne protégée en cas d'audience devant le juge de l'application des peines,12 février 2021,Non conformité totale,la loi n° 2009-1436 du 24 novembre 2009 pénitentiaire
777,2020-884,Absence d'obligation légale d'aviser le tuteur ou le curateur d'une personne protégée en cas d'audience devant le juge de l'application des peines,12 février 2021,Non conformité totale,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
778,2020-883,Mesures transitoires accompagnant les nouvelles dispositions relatives à l'instauration des périmètres de protection des captages d'eau potable,12 février 2021,Non conformité totale,la Constitution
779,2020-883,Mesures transitoires accompagnant les nouvelles dispositions relatives à l'instauration des périmètres de protection des captages d'eau potable,12 février 2021,Non conformité totale,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
780,2020-883,Mesures transitoires accompagnant les nouvelles dispositions relatives à l'instauration des périmètres de protection des captages d'eau potable,12 février 2021,Non conformité totale,le code de la santé publique
781,2020-883,Mesures transitoires accompagnant les nouvelles dispositions relatives à l'instauration des périmètres de protection des captages d'eau potable,12 février 2021,Non conformité totale,la loi n° 2019-774 du 24 juillet 2019 relative à l'organisation et à la transformation du système de santé
782,2020-883,Mesures transitoires accompagnant les nouvelles dispositions relatives à l'instauration des périmètres de protection des captages d'eau potable,12 février 2021,Non conformité totale,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
783,2020-882,Autorisation administrative préalable à l'exploitation des équipements de réseaux 5G,05 février 2021,Conformité,la Constitution
784,2020-882,Autorisation administrative préalable à l'exploitation des équipements de réseaux 5G,05 février 2021,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
785,2020-882,Autorisation administrative préalable à l'exploitation des équipements de réseaux 5G,05 février 2021,Conformité,le code de la défense
786,2020-882,Autorisation administrative préalable à l'exploitation des équipements de réseaux 5G,05 février 2021,Conformité,le code pénal
787,2020-882,Autorisation administrative préalable à l'exploitation des équipements de réseaux 5G,05 février 2021,Conformité,le code des postes et des communications électroniques
788,2020-882,Autorisation administrative préalable à l'exploitation des équipements de réseaux 5G,05 février 2021,Conformité,la loi n° 2019-810 du 1er août 2019 visant à préserver les intérêts de la défense et de la sécurité nationale de la France dans le cadre de l'exploitation des réseaux radioélectriques mobiles
789,2020-882,Autorisation administrative préalable à l'exploitation des équipements de réseaux 5G,05 février 2021,Conformité,l'arrêté du 11 août 2016 modifiant l'arrêté du 4 juillet 2012 fixant la liste d'appareils et de dispositifs techniques prévue par l'article 226-3 du code pénal
790,2020-882,Autorisation administrative préalable à l'exploitation des équipements de réseaux 5G,05 février 2021,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
791,2020-881,Définition du préjudice écologique réparable,05 février 2021,Conformité,la Constitution
792,2020-881,Définition du préjudice écologique réparable,05 février 2021,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
793,2020-881,Définition du préjudice écologique réparable,05 février 2021,Conformité,le code civil
795,2020-881,Définition du préjudice écologique réparable,05 février 2021,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
796,2020-880,Révocation d'un avantage matrimonial en cas de divorce,29 janvier 2021,Conformité,la Constitution
797,2020-880,Révocation d'un avantage matrimonial en cas de divorce,29 janvier 2021,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
798,2020-880,Révocation d'un avantage matrimonial en cas de divorce,29 janvier 2021,Conformité,le code civil
799,2020-880,Révocation d'un avantage matrimonial en cas de divorce,29 janvier 2021,Conformité,la loi n° 2004-439 du 26 mai 2004 relative au divorce
800,2020-880,Révocation d'un avantage matrimonial en cas de divorce,29 janvier 2021,Conformité,la loi n° 2006-728 du 23 juin 2006 portant réforme des successions et des libéralités
802,2020-880,Révocation d'un avantage matrimonial en cas de divorce,29 janvier 2021,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
803,2020-878/879,Prolongation de plein droit des détentions provisoires dans un contexte d'urgence sanitaire,29 janvier 2021,Non conformité totale,la Constitution
804,2020-878/879,Prolongation de plein droit des détentions provisoires dans un contexte d'urgence sanitaire,29 janvier 2021,Non conformité totale,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
805,2020-878/879,Prolongation de plein droit des détentions provisoires dans un contexte d'urgence sanitaire,29 janvier 2021,Non conformité totale,la loi n° 2020-290 du 23 mars 2020 d'urgence pour faire face à l'épidémie de covid-19
807,2020-878/879,Prolongation de plein droit des détentions provisoires dans un contexte d'urgence sanitaire,29 janvier 2021,Non conformité totale,la loi n° 2020-546 du 11 mai 2020 prorogeant l'état d'urgence sanitaire et complétant ses dispositions
808,2020-878/879,Prolongation de plein droit des détentions provisoires dans un contexte d'urgence sanitaire,29 janvier 2021,Non conformité totale,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
809,2020-874/875/876/877,Droit au maintien des liens familiaux durant la détention provisoire,21 janvier 2021,Conformité,la Constitution
810,2020-874/875/876/877,Droit au maintien des liens familiaux durant la détention provisoire,21 janvier 2021,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
811,2020-874/875/876/877,Droit au maintien des liens familiaux durant la détention provisoire,21 janvier 2021,Conformité,le code de procédure pénale
812,2020-874/875/876/877,Droit au maintien des liens familiaux durant la détention provisoire,21 janvier 2021,Conformité,la loi n° 2009-1436 du 24 novembre 2009 pénitentiaire
813,2020-874/875/876/877,Droit au maintien des liens familiaux durant la détention provisoire,21 janvier 2021,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
814,2020-873,Absence d'obligation légale d'aviser le tuteur ou le curateur d'un majeur protégé d'une perquisition menée à son domicile dans le cadre d'une enquête préliminaire,15 janvier 2021,Non conformité totale - effet différé,la Constitution
815,2020-873,Absence d'obligation légale d'aviser le tuteur ou le curateur d'un majeur protégé d'une perquisition menée à son domicile dans le cadre d'une enquête préliminaire,15 janvier 2021,Non conformité totale - effet différé,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
816,2020-873,Absence d'obligation légale d'aviser le tuteur ou le curateur d'un majeur protégé d'une perquisition menée à son domicile dans le cadre d'une enquête préliminaire,15 janvier 2021,Non conformité totale - effet différé,le code de procédure pénale
817,2020-873,Absence d'obligation légale d'aviser le tuteur ou le curateur d'un majeur protégé d'une perquisition menée à son domicile dans le cadre d'une enquête préliminaire,15 janvier 2021,Non conformité totale - effet différé,la loi n° 2019-222 du 23 mars 2019 de programmation 2018-2022 et de réforme pour la justice
818,2020-873,Absence d'obligation légale d'aviser le tuteur ou le curateur d'un majeur protégé d'une perquisition menée à son domicile dans le cadre d'une enquête préliminaire,15 janvier 2021,Non conformité totale - effet différé,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
819,2020-872,Utilisation de la visioconférence sans accord des parties devant les juridictions pénales dans un contexte d'urgence sanitaire,15 janvier 2021,Non conformité totale,la Constitution
820,2020-872,Utilisation de la visioconférence sans accord des parties devant les juridictions pénales dans un contexte d'urgence sanitaire,15 janvier 2021,Non conformité totale,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
821,2020-872,Utilisation de la visioconférence sans accord des parties devant les juridictions pénales dans un contexte d'urgence sanitaire,15 janvier 2021,Non conformité totale,le code de procédure pénale
822,2020-872,Utilisation de la visioconférence sans accord des parties devant les juridictions pénales dans un contexte d'urgence sanitaire,15 janvier 2021,Non conformité totale,la loi n° 2019-222 du 23 mars 2019 de programmation 2018-2022 et de réforme pour la justice
823,2020-872,Utilisation de la visioconférence sans accord des parties devant les juridictions pénales dans un contexte d'urgence sanitaire,15 janvier 2021,Non conformité totale,la loi n° 2020-290 du 23 mars 2020 d'urgence pour faire face à l'épidémie de covid-19
825,2020-872,Utilisation de la visioconférence sans accord des parties devant les juridictions pénales dans un contexte d'urgence sanitaire,15 janvier 2021,Non conformité totale,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
826,2020-871,Conditions de révision d'une prestation compensatoire fixée sous forme de rente,15 janvier 2021,Conformité,la Constitution
827,2020-871,Conditions de révision d'une prestation compensatoire fixée sous forme de rente,15 janvier 2021,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
828,2020-871,Conditions de révision d'une prestation compensatoire fixée sous forme de rente,15 janvier 2021,Conformité,la loi n° 2000-596 du 30 juin 2000 relative à la prestation compensatoire en matière de divorce
829,2020-871,Conditions de révision d'une prestation compensatoire fixée sous forme de rente,15 janvier 2021,Conformité,la loi n° 2004-439 du 26 mai 2004 relative au divorce
830,2020-871,Conditions de révision d'une prestation compensatoire fixée sous forme de rente,15 janvier 2021,Conformité,la loi n° 2015-177 du 16 février 2015 relative à la modernisation et à la simplification du droit et des procédures dans les domaines de la justice et des affaires intérieures
831,2020-871,Conditions de révision d'une prestation compensatoire fixée sous forme de rente,15 janvier 2021,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
835,2020-870,Assistance de l'avocat lors d'une audition libre,04 décembre 2020,Non lieu à statuer,la Constitution
836,2020-870,Assistance de l'avocat lors d'une audition libre,04 décembre 2020,Non lieu à statuer,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
837,2020-870,Assistance de l'avocat lors d'une audition libre,04 décembre 2020,Non lieu à statuer,le code de procédure pénale
839,2020-870,Assistance de l'avocat lors d'une audition libre,04 décembre 2020,Non lieu à statuer,la loi n° 2019-222 du 23 mars 2019 de programmation 2018-2022 et de réforme pour la justice
840,2020-870,Assistance de l'avocat lors d'une audition libre,04 décembre 2020,Non lieu à statuer,la décision du Conseil constitutionnel n° 2018-762 QPC du 8 février 2019
841,2020-870,Assistance de l'avocat lors d'une audition libre,04 décembre 2020,Non lieu à statuer,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
842,2020-869,Applicabilité en Nouvelle-Calédonie du dispositif national relatif à l'état d'urgence sanitaire,04 décembre 2020,Conformité,la Constitution
844,2020-869,Applicabilité en Nouvelle-Calédonie du dispositif national relatif à l'état d'urgence sanitaire,04 décembre 2020,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
845,2020-869,Applicabilité en Nouvelle-Calédonie du dispositif national relatif à l'état d'urgence sanitaire,04 décembre 2020,Conformité,la loi organique n° 99-209 du 19 mars 1999 relative à la Nouvelle-Calédonie
846,2020-869,Applicabilité en Nouvelle-Calédonie du dispositif national relatif à l'état d'urgence sanitaire,04 décembre 2020,Conformité,le code de la santé publique
847,2020-869,Applicabilité en Nouvelle-Calédonie du dispositif national relatif à l'état d'urgence sanitaire,04 décembre 2020,Conformité,la loi n° 2020-290 du 23 mars 2020 d'urgence pour faire face à l'épidémie de covid-19
849,2020-869,Applicabilité en Nouvelle-Calédonie du dispositif national relatif à l'état d'urgence sanitaire,04 décembre 2020,Conformité,la loi n° 2020-546 du 11 mai 2020 prorogeant l'état d'urgence sanitaire et complétant ses dispositions
850,2020-869,Applicabilité en Nouvelle-Calédonie du dispositif national relatif à l'état d'urgence sanitaire,04 décembre 2020,Conformité,la loi n° 2020-856 du 9 juillet 2020 organisant la sortie de l'état d'urgence sanitaire
851,2020-869,Applicabilité en Nouvelle-Calédonie du dispositif national relatif à l'état d'urgence sanitaire,04 décembre 2020,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
852,2020-868,Taxe forfaitaire sur la cession et l'exportation d'objets précieux,27 novembre 2020,Non conformité partielle,la Constitution
853,2020-868,Taxe forfaitaire sur la cession et l'exportation d'objets précieux,27 novembre 2020,Non conformité partielle,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
854,2020-868,Taxe forfaitaire sur la cession et l'exportation d'objets précieux,27 novembre 2020,Non conformité partielle,le code général des impôts
856,2020-868,Taxe forfaitaire sur la cession et l'exportation d'objets précieux,27 novembre 2020,Non conformité partielle,la loi n° 2005-1720 du 30 décembre 2005 de finances rectificative pour 2005
857,2020-868,Taxe forfaitaire sur la cession et l'exportation d'objets précieux,27 novembre 2020,Non conformité partielle,la loi n° 2013-1278 du 29 décembre 2013 de finances pour 2014
858,2020-868,Taxe forfaitaire sur la cession et l'exportation d'objets précieux,27 novembre 2020,Non conformité partielle,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
859,2020-867,Amende pour non-respect des mesures prises pour limiter les nuisances aéroportuaires,27 novembre 2020,Conformité,la Constitution
860,2020-867,Amende pour non-respect des mesures prises pour limiter les nuisances aéroportuaires,27 novembre 2020,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
861,2020-867,Amende pour non-respect des mesures prises pour limiter les nuisances aéroportuaires,27 novembre 2020,Conformité,le code des transports
863,2020-867,Amende pour non-respect des mesures prises pour limiter les nuisances aéroportuaires,27 novembre 2020,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
864,2020-866,Procédure civile sans audience dans un contexte d'urgence sanitaire,19 novembre 2020,Conformité,la Constitution
865,2020-866,Procédure civile sans audience dans un contexte d'urgence sanitaire,19 novembre 2020,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
866,2020-866,Procédure civile sans audience dans un contexte d'urgence sanitaire,19 novembre 2020,Conformité,la loi n° 2020-290 du 23 mars 2020 d'urgence pour faire face à l'épidémie de covid-19
867,2020-866,Procédure civile sans audience dans un contexte d'urgence sanitaire,19 novembre 2020,Conformité,l'ordonnance n° 2020-304 du 25 mars 2020 portant adaptation des règles applicables aux juridictions de l'ordre judiciaire statuant en matière non pénale et aux contrats de syndic de copropriété
868,2020-866,Procédure civile sans audience dans un contexte d'urgence sanitaire,19 novembre 2020,Conformité,l'ordonnance n° 2020-595 du 20 mai 2020 modifiant l'ordonnance n° 2020-304 du 25 mars 2020 portant adaptation des règles applicables aux juridictions de l'ordre judiciaire statuant en matière non pénale et aux contrats de syndic de copropriété
869,2020-866,Procédure civile sans audience dans un contexte d'urgence sanitaire,19 novembre 2020,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
870,2020-865,Requête aux fins de désignation d'un mandataire de justice par le représentant légal d'une personne morale,19 novembre 2020,Conformité,la Constitution
871,2020-865,Requête aux fins de désignation d'un mandataire de justice par le représentant légal d'une personne morale,19 novembre 2020,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
872,2020-865,Requête aux fins de désignation d'un mandataire de justice par le représentant légal d'une personne morale,19 novembre 2020,Conformité,le code de procédure pénale
873,2020-865,Requête aux fins de désignation d'un mandataire de justice par le représentant légal d'une personne morale,19 novembre 2020,Conformité,l'ordonnance n° 2019-964 du 18 septembre 2019 prise en application de la loi n° 2019-222 du 23 mars 2019 de programmation 2018-2022 et de réforme pour la justice
874,2020-865,Requête aux fins de désignation d'un mandataire de justice par le représentant légal d'une personne morale,19 novembre 2020,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
875,2020-864,Redressement des cotisations et contributions sociales sur la base des informations contenues dans les procès-verbaux de travail dissimulé,13 novembre 2020,Conformité,la Constitution
876,2020-864,Redressement des cotisations et contributions sociales sur la base des informations contenues dans les procès-verbaux de travail dissimulé,13 novembre 2020,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
877,2020-864,Redressement des cotisations et contributions sociales sur la base des informations contenues dans les procès-verbaux de travail dissimulé,13 novembre 2020,Conformité,le code de la sécurité sociale
878,2020-864,Redressement des cotisations et contributions sociales sur la base des informations contenues dans les procès-verbaux de travail dissimulé,13 novembre 2020,Conformité,la loi n° 2012-1404 du 17 décembre 2012 de financement de la sécurité sociale pour 2013
879,2020-864,Redressement des cotisations et contributions sociales sur la base des informations contenues dans les procès-verbaux de travail dissimulé,13 novembre 2020,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
888,2020-862,Pérennisation d'un prélèvement minorant la dotation d'intercommunalité,15 octobre 2020,Non conformité totale,la Constitution
889,2020-862,Pérennisation d'un prélèvement minorant la dotation d'intercommunalité,15 octobre 2020,Non conformité totale,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
890,2020-862,Pérennisation d'un prélèvement minorant la dotation d'intercommunalité,15 octobre 2020,Non conformité totale,le code général des collectivités territoriales
891,2020-862,Pérennisation d'un prélèvement minorant la dotation d'intercommunalité,15 octobre 2020,Non conformité totale,la loi n° 2018-1317 du 28 décembre 2018 de finances pour 2019
892,2020-862,Pérennisation d'un prélèvement minorant la dotation d'intercommunalité,15 octobre 2020,Non conformité totale,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
893,2020-861,Plafonnement des frais d'intermédiation commerciale pour la vente de logements éligibles à la réduction d'impôt sur le revenu en faveur de l'investissement locatif intermédi,15 octobre 2020,Conformité,la Constitution
894,2020-861,Plafonnement des frais d'intermédiation commerciale pour la vente de logements éligibles à la réduction d'impôt sur le revenu en faveur de l'investissement locatif intermédi,15 octobre 2020,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
895,2020-861,Plafonnement des frais d'intermédiation commerciale pour la vente de logements éligibles à la réduction d'impôt sur le revenu en faveur de l'investissement locatif intermédi,15 octobre 2020,Conformité,le code général des impôts
896,2020-861,Plafonnement des frais d'intermédiation commerciale pour la vente de logements éligibles à la réduction d'impôt sur le revenu en faveur de l'investissement locatif intermédi,15 octobre 2020,Conformité,la loi n° 2018-1317 du 28 décembre 2018 de finances pour 2019
897,2020-861,Plafonnement des frais d'intermédiation commerciale pour la vente de logements éligibles à la réduction d'impôt sur le revenu en faveur de l'investissement locatif intermédi,15 octobre 2020,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
898,2020-860,Assistance d'un fonctionnaire durant une rupture conventionnelle,15 octobre 2020,Non conformité totale,la Constitution
899,2020-860,Assistance d'un fonctionnaire durant une rupture conventionnelle,15 octobre 2020,Non conformité totale,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
900,2020-860,Assistance d'un fonctionnaire durant une rupture conventionnelle,15 octobre 2020,Non conformité totale,la loi n° 2019-828 du 6 août 2019 de transformation de la fonction publique
901,2020-860,Assistance d'un fonctionnaire durant une rupture conventionnelle,15 octobre 2020,Non conformité totale,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
902,2020-858/859,Conditions d'incarcération des détenus,02 octobre 2020,Non conformité totale - effet différé,la Constitution
903,2020-858/859,Conditions d'incarcération des détenus,02 octobre 2020,Non conformité totale - effet différé,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
904,2020-858/859,Conditions d'incarcération des détenus,02 octobre 2020,Non conformité totale - effet différé,la Convention de sauvegarde des droits de l'homme et des libertés fondamentales
905,2020-858/859,Conditions d'incarcération des détenus,02 octobre 2020,Non conformité totale - effet différé,le code de justice administrative
906,2020-858/859,Conditions d'incarcération des détenus,02 octobre 2020,Non conformité totale - effet différé,le code de procédure pénale
907,2020-858/859,Conditions d'incarcération des détenus,02 octobre 2020,Non conformité totale - effet différé,la loi n° 2000-516 du 15 juin 2000 renforçant la protection de la présomption d'innocence et les droits des victimes
908,2020-858/859,Conditions d'incarcération des détenus,02 octobre 2020,Non conformité totale - effet différé,la loi n° 2009-1436 du 24 novembre 2009 pénitentiaire
909,2020-858/859,Conditions d'incarcération des détenus,02 octobre 2020,Non conformité totale - effet différé,la loi n° 2019-222 du 23 mars 2019 de programmation 2018-2022 et de réforme pour la justice
910,2020-858/859,Conditions d'incarcération des détenus,02 octobre 2020,Non conformité totale - effet différé,la décision du Conseil d'État n° 410677 du 28 juillet 2017
912,2020-858/859,Conditions d'incarcération des détenus,02 octobre 2020,Non conformité totale - effet différé,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
913,2020-857,Référé contractuel applicable aux contrats de droit privé de la commande publique,02 octobre 2020,Conformité,la Constitution
914,2020-857,Référé contractuel applicable aux contrats de droit privé de la commande publique,02 octobre 2020,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
915,2020-857,Référé contractuel applicable aux contrats de droit privé de la commande publique,02 octobre 2020,Conformité,la directive 2007/66/CE du Parlement européen et du Conseil du 11 décembre 2007 modifiant les directives 89/665/CEE et 92/13/CEE du Conseil en ce qui concerne l'amélioration de l'efficacité des procédures de recours en matière de passation des marchés publics
917,2020-857,Référé contractuel applicable aux contrats de droit privé de la commande publique,02 octobre 2020,Conformité,la décision du Conseil d'État n° 358994 du 4 avril 2014
918,2020-857,Référé contractuel applicable aux contrats de droit privé de la commande publique,02 octobre 2020,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
919,2020-856,Allocations pour les enfants de mineurs licenciés pour faits de grève en 1948 et 1952,18 septembre 2020,Non conformité totale,la Constitution
920,2020-856,Allocations pour les enfants de mineurs licenciés pour faits de grève en 1948 et 1952,18 septembre 2020,Non conformité totale,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
921,2020-856,Allocations pour les enfants de mineurs licenciés pour faits de grève en 1948 et 1952,18 septembre 2020,Non conformité totale,la loi n° 2004-1484 du 30 décembre 2004 de finances pour 2005
922,2020-856,Allocations pour les enfants de mineurs licenciés pour faits de grève en 1948 et 1952,18 septembre 2020,Non conformité totale,la loi n° 2014-1654 du 29 décembre 2014 de finances pour 2015
923,2020-856,Allocations pour les enfants de mineurs licenciés pour faits de grève en 1948 et 1952,18 septembre 2020,Non conformité totale,la loi n° 2016-1918 du 29 décembre 2016 de finances rectificative pour 2016
924,2020-856,Allocations pour les enfants de mineurs licenciés pour faits de grève en 1948 et 1952,18 septembre 2020,Non conformité totale,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
925,2020-855,Condition de paiement préalable pour la contestation des forfaits de post-stationnement,09 septembre 2020,Non conformité totale,la Constitution
926,2020-855,Condition de paiement préalable pour la contestation des forfaits de post-stationnement,09 septembre 2020,Non conformité totale,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
927,2020-855,Condition de paiement préalable pour la contestation des forfaits de post-stationnement,09 septembre 2020,Non conformité totale,le code général des collectivités territoriales
929,2020-855,Condition de paiement préalable pour la contestation des forfaits de post-stationnement,09 septembre 2020,Non conformité totale,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
930,2020-854,Taux réduit d'impôt sur les sociétés sur les plus-values de cessions de locaux professionnels transformés en logements,31 juillet 2020,Non conformité totale,la Constitution
931,2020-854,Taux réduit d'impôt sur les sociétés sur les plus-values de cessions de locaux professionnels transformés en logements,31 juillet 2020,Non conformité totale,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
932,2020-854,Taux réduit d'impôt sur les sociétés sur les plus-values de cessions de locaux professionnels transformés en logements,31 juillet 2020,Non conformité totale,le code général des impôts
933,2020-854,Taux réduit d'impôt sur les sociétés sur les plus-values de cessions de locaux professionnels transformés en logements,31 juillet 2020,Non conformité totale,la loi n° 2013-1279 du 29 décembre 2013 de finances rectificative pour 2013
934,2020-854,Taux réduit d'impôt sur les sociétés sur les plus-values de cessions de locaux professionnels transformés en logements,31 juillet 2020,Non conformité totale,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
935,2020-853,Action en démolition d'un ouvrage irrégulièrement édifié ou installé,31 juillet 2020,Conformité - réserve,la Constitution
936,2020-853,Action en démolition d'un ouvrage irrégulièrement édifié ou installé,31 juillet 2020,Conformité - réserve,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
937,2020-853,Action en démolition d'un ouvrage irrégulièrement édifié ou installé,31 juillet 2020,Conformité - réserve,le code de l'urbanisme
938,2020-853,Action en démolition d'un ouvrage irrégulièrement édifié ou installé,31 juillet 2020,Conformité - réserve,la loi n° 2010-788 du 12 juillet 2010 portant engagement national pour l'environnement
939,2020-853,Action en démolition d'un ouvrage irrégulièrement édifié ou installé,31 juillet 2020,Conformité - réserve,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
940,2020-851/852,Habilitation à prolonger la durée des détentions provisoires dans un contexte d'urgence sanitaire,03 juillet 2020,Conformité,la Constitution
941,2020-851/852,Habilitation à prolonger la durée des détentions provisoires dans un contexte d'urgence sanitaire,03 juillet 2020,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
